REVENUE,CROSS_SELL_SUCCESS,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED
1410.00,0,Denestan,denestan@gmail.com,Denestan,Denestan,35.00,8.00,5.00,10.00,46.26,1.00,0.00,0.00,0.00,6.00,1.00,19.00,4.00,4.00,1.00,0.00,84.80,1.00,1.00,3.00,13.00,147.00
3325.00,0,Mollander,mollander@hotmail.com,Mollander,Mollander,72.00,1.00,7.00,2.00,34.00,1.00,1.00,0.00,1.00,6.00,1.00,48.00,0.00,4.00,1.00,1.00,168.00,1.00,0.00,3.00,12.00,0.00
810.00,0,Gared,gared@me.com,Gared,Gared,13.00,3.00,12.00,9.00,20.90,1.00,0.00,0.00,0.00,7.00,2.00,26.00,0.00,5.00,0.00,0.00,63.00,1.00,0.00,1.00,19.00,0.00
1450.00,0,Vyman,vyman@passport.com,Vyman,Vyman,76.00,3.00,5.00,8.00,40.26,1.00,0.00,1.00,0.00,5.00,1.00,9.00,4.00,5.00,0.00,0.00,84.80,1.00,0.00,3.00,14.00,205.00
1000.00,0,Weasel,weasel@cocacola.com,Weasel,Weasel,14.00,3.00,12.00,4.00,95.77,1.00,0.00,0.00,1.00,6.00,2.00,6.00,0.00,5.00,0.00,0.00,81.60,1.00,1.00,2.00,17.00,0.00
465.00,0,Grunt,grunt@aol.com,Grunt,Grunt,12.00,5.00,11.00,7.00,80.11,1.00,1.00,0.00,1.00,6.00,1.00,35.00,0.00,7.00,1.00,0.00,40.70,1.00,0.00,2.00,17.00,0.00
899.00,0,Ysilla,ysilla@protonmail.com,Ysilla,Ysilla,15.00,4.00,12.00,6.00,97.22,1.00,0.00,0.00,0.00,6.00,2.00,52.00,4.00,3.00,0.00,0.00,86.90,1.00,0.00,2.00,17.00,0.00
1425.00,1,Alebelly,alebelly@gmail.com,Alebelly,Alebelly,50.00,5.00,7.00,8.00,26.04,1.00,2.00,0.00,0.00,5.00,1.00,13.00,0.00,3.00,0.00,0.00,105.50,2.00,0.00,2.00,18.00,0.00
1275.00,1,Allard Seaworth,allard.seaworth@gmail.com,Allard,Seaworth,31.00,7.00,6.00,1.00,231.30,1.00,2.00,0.00,1.00,5.00,2.00,0.00,0.00,3.00,0.00,0.00,106.90,2.00,1.00,3.00,14.00,0.00
1999.00,1,Bellegere Otherys,bellegere.otherys@mcdonalds.com,Bellegere,Otherys,127.00,6.00,6.00,9.00,41.74,1.00,4.00,0.00,1.00,6.00,1.00,23.00,0.00,2.00,0.00,0.00,124.10,2.00,0.00,3.00,14.00,0.00
2012.50,1,Bethany (Blushing Bethany),bethany.(blushing.bethany)@mmm.com,Bethany,,67.00,1.00,4.00,8.00,31.00,1.00,2.00,0.00,1.00,6.00,2.00,6.00,9.00,2.00,0.00,0.00,130.40,2.00,1.00,2.00,16.00,0.00
2616.25,1,Blane,blane@merck.com,Blane,Blane,64.00,1.00,7.00,1.00,49.00,1.00,1.00,0.00,1.00,6.00,1.00,17.00,0.00,0.00,0.00,0.00,120.00,2.00,0.00,3.00,15.00,0.00
1280.00,1,Bronn,bronn@protonmail.com,Bronn,Bronn,100.00,7.00,4.00,9.00,169.99,1.00,0.00,0.00,0.00,4.00,1.00,12.00,0.00,1.00,0.00,0.00,91.40,2.00,0.00,2.00,17.00,0.00
1210.00,1,Bryan Fossoway,bryan.fossoway@gmail.com,Bryan,Fossoway,46.00,3.00,6.00,4.00,90.54,1.00,2.00,1.00,0.00,6.00,2.00,5.00,3.00,2.00,0.00,0.00,95.20,2.00,1.00,2.00,17.00,0.00
2115.00,1,Calon,calon@protonmail.com,Calon,Calon,135.00,9.00,7.00,2.00,35.82,1.00,4.00,0.00,0.00,5.00,1.00,0.00,1.00,1.00,0.00,0.00,122.60,2.00,2.00,3.00,12.00,0.00
600.00,1,Dagon Greyjoy,dagon.greyjoy@gmail.com,Dagon,Greyjoy,12.00,2.00,11.00,4.00,54.20,1.00,2.00,0.00,1.00,6.00,2.00,4.00,2.00,2.00,1.00,0.00,80.00,2.00,1.00,1.00,18.00,0.00
1260.00,1,Daughter of the Dusk,daughter.of.the.dusk@gmail.com,Daughter,of the Dusk,35.00,5.00,4.00,1.00,85.00,1.00,0.00,0.00,1.00,5.00,2.00,1.00,0.00,2.00,0.00,0.00,88.20,2.00,0.00,3.00,12.00,0.00
800.00,1,Delena Florent,delena.florent@protonmail.com,Delena,Florent,14.00,6.00,12.00,2.00,47.08,1.00,0.00,0.00,1.00,5.00,1.00,10.00,3.00,6.00,0.00,0.00,74.70,2.00,0.00,2.00,17.00,0.00
1660.75,1,Fralegg,fralegg@yahoo.com,Fralegg,Fralegg,15.00,1.00,11.00,10.00,17.96,1.00,5.00,0.00,0.00,6.00,1.00,5.00,3.00,2.00,1.00,0.00,98.80,2.00,1.00,2.00,16.00,0.00
1800.00,1,Hamish the Harper,hamish.the.harper@intel.com,Hamish,the Harper,138.00,5.00,8.00,2.00,31.98,1.00,4.00,1.00,1.00,7.00,0.00,12.00,6.00,3.00,1.00,0.00,151.20,2.00,0.00,3.00,12.00,513.00
850.00,1,Harren Half-Hoare,harren.half-hoare@amex.com,Harren,Half-Hoare,13.00,4.00,11.00,10.00,83.77,1.00,0.00,0.00,1.00,6.00,2.00,6.00,0.00,0.00,1.00,0.00,79.60,2.00,0.00,1.00,19.00,0.00
930.00,1,Hod,hod@gmail.com,Hod,Hod,14.00,8.00,11.00,3.00,59.00,1.00,5.00,0.00,0.00,5.00,2.00,0.00,3.00,1.00,1.00,1.00,93.60,2.00,0.00,3.00,14.00,0.00
2060.00,1,Aladale Wynch,aladale.wynch@disney.com,Aladale,Wynch,88.00,2.00,9.00,1.00,195.32,1.00,0.00,1.00,1.00,6.00,1.00,14.00,0.00,1.00,0.00,0.00,122.60,2.00,1.00,3.00,13.00,0.00
725.00,1,Baelor Hightower,baelor.hightower@protonmail.com,Baelor,Hightower,15.00,8.00,11.00,6.00,75.27,1.00,1.00,0.00,0.00,6.00,2.00,0.00,3.00,9.00,0.00,0.00,72.00,2.00,0.00,2.00,17.00,0.00
996.00,1,Belandra,belandra@yahoo.com,Belandra,Belandra,13.00,7.00,11.00,7.00,89.50,1.00,1.00,0.00,1.00,6.00,2.00,42.00,0.00,3.00,0.00,0.00,86.40,2.00,0.00,1.00,17.00,0.00
2108.75,1,Borroq,borroq@merck.com,Borroq,Borroq,38.00,1.00,6.00,8.00,41.00,0.00,0.00,0.00,1.00,6.00,2.00,11.00,0.00,2.00,1.00,1.00,77.80,2.00,1.00,2.00,14.00,0.00
938.00,1,Corliss Penny,corliss.penny@aol.com,Corliss,Penny,13.00,2.00,11.00,7.00,69.91,1.00,3.00,0.00,1.00,6.00,2.00,0.00,0.00,2.00,1.00,1.00,76.80,2.00,0.00,3.00,13.00,0.00
2948.75,1,Cossomo,cossomo@aol.com,Cossomo,Cossomo,91.00,1.00,6.00,8.00,42.00,1.00,1.00,0.00,1.00,6.00,2.00,11.00,4.00,2.00,0.00,0.00,151.20,2.00,1.00,3.00,13.00,513.00
1737.00,1,Craghas Drahar,craghas.drahar@visa.com,Craghas,Drahar,85.00,4.00,6.00,3.00,29.00,1.00,2.00,0.00,1.00,5.00,1.00,8.00,0.00,1.00,0.00,0.00,122.40,2.00,0.00,3.00,15.00,76.00
1080.00,1,Daena Targaryen,daena.targaryen@protonmail.com,Daena,Targaryen,13.00,3.00,12.00,8.00,97.00,1.00,5.00,0.00,1.00,6.00,2.00,8.00,0.00,2.00,0.00,0.00,67.20,2.00,0.00,2.00,16.00,0.00
2137.00,1,Dagmer,dagmer@nike.com,Dagmer,Dagmer,118.00,3.00,9.00,10.00,45.40,1.00,3.00,0.00,0.00,5.00,1.00,14.00,0.00,0.00,1.00,0.00,129.50,2.00,2.00,3.00,12.00,0.00
2065.00,1,Damon Paege,damon.paege@gmail.com,Damon,Paege,48.00,1.00,5.00,4.00,41.00,1.00,3.00,0.00,0.00,6.00,2.00,10.00,7.00,0.00,0.00,0.00,69.80,2.00,0.00,1.00,17.00,0.00
854.00,1,Garrett Paege,garrett.paege@jpmorgan.com,Garrett,Paege,12.00,6.00,11.00,6.00,12.80,1.00,0.00,0.00,1.00,5.00,1.00,18.00,0.00,2.00,0.00,0.00,98.70,2.00,0.00,2.00,16.00,232.00
785.00,1,Gwin Goodbrother,gwin.goodbrother@cocacola.com,Gwin,Goodbrother,16.00,8.00,11.00,4.00,108.00,1.00,0.00,0.00,1.00,5.00,2.00,5.00,0.00,1.00,0.00,0.00,72.50,2.00,0.00,2.00,18.00,0.00
795.00,1,Lucas Codd,lucas.codd@passport.com,Lucas,Codd,13.00,9.00,11.00,7.00,88.00,1.00,0.00,0.00,1.00,5.00,1.00,1.00,7.00,1.00,0.00,0.00,93.50,2.00,0.00,2.00,14.00,0.00
2574.25,1,Harrold Westerling,harrold.westerling@yahoo.com,Harrold,Westerling,44.00,1.00,8.00,2.00,42.00,1.00,1.00,0.00,0.00,6.00,1.00,8.00,4.00,6.00,0.00,0.00,108.00,2.00,0.00,3.00,13.00,0.00
790.00,1,Hugo Vance,hugo.vance@protonmail.com,Hugo,Vance,12.00,4.00,12.00,7.00,60.40,0.00,1.00,0.00,1.00,6.00,2.00,0.00,7.00,1.00,0.00,0.00,89.60,2.00,0.00,2.00,17.00,0.00
850.00,1,Jaehaerys Targaryen (son of Aegon II),jaehaerys.targaryen.(son.of.aegon.ii)@protonmail.com,Jaehaerys,Targaryen ,14.00,9.00,11.00,4.00,67.00,0.00,0.00,0.00,1.00,6.00,2.00,21.00,0.00,2.00,1.00,1.00,102.20,2.00,0.00,2.00,18.00,0.00
3645.25,1,Ambrode,ambrode@ibm.com,Ambrode,Ambrode,83.00,1.00,6.00,2.00,35.00,1.00,2.00,0.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,121.80,2.00,0.00,3.00,11.00,0.00
645.00,1,Antario Jast,antario.jast@dupont.com,Antario,Jast,13.00,7.00,12.00,8.00,55.00,1.00,1.00,0.00,0.00,5.00,2.00,6.00,5.00,9.00,0.00,0.00,66.60,2.00,0.00,1.00,17.00,0.00
1440.00,1,Arlan of Pennytree,arlan.of.pennytree@protonmail.com,Arlan,of Pennytree,62.00,6.00,4.00,4.00,36.35,1.00,0.00,0.00,1.00,6.00,2.00,0.00,9.00,7.00,1.00,1.00,84.80,2.00,0.00,3.00,14.00,170.00
820.00,1,Arthur Ambrose,arthur.ambrose@live.com,Arthur,Ambrose,15.00,9.00,11.00,5.00,111.06,1.00,3.00,0.00,0.00,5.00,1.00,21.00,0.00,1.00,1.00,0.00,94.40,2.00,0.00,3.00,13.00,0.00
825.00,1,Baela Targaryen,baela.targaryen@mcdonalds.com,Baela,Targaryen,15.00,3.00,11.00,4.00,128.42,1.00,2.00,0.00,0.00,5.00,1.00,3.00,0.00,2.00,0.00,0.00,86.10,2.00,0.00,3.00,14.00,0.00
910.00,1,Delonne Allyrion,delonne.allyrion@protonmail.com,Delonne,Allyrion,16.00,7.00,11.00,10.00,56.92,1.00,1.00,0.00,0.00,5.00,1.00,8.00,3.00,4.00,1.00,1.00,79.00,2.00,0.00,2.00,17.00,0.00
1385.00,1,Desmond Grell,desmond.grell@yahoo.com,Desmond,Grell,41.00,9.00,4.00,9.00,117.72,0.00,0.00,0.00,0.00,6.00,1.00,0.00,4.00,0.00,1.00,1.00,90.80,2.00,0.00,3.00,13.00,0.00
2775.00,1,Eldred Codd,eldred.codd@hotmail.com,Eldred,Codd,97.00,3.00,4.00,8.00,126.00,0.00,2.00,0.00,1.00,5.00,1.00,23.00,5.00,1.00,0.00,0.00,125.20,2.00,1.00,3.00,15.00,0.00
1060.00,1,Gillam,gillam@merck.com,Gillam,Gillam,13.00,8.00,12.00,4.00,99.00,1.00,1.00,0.00,1.00,6.00,1.00,41.00,0.00,4.00,0.00,0.00,84.60,2.00,0.00,3.00,13.00,0.00
2835.00,1,Gowen Baratheon,gowen.baratheon@jnj.com,Gowen,Baratheon,63.00,1.00,6.00,3.00,35.00,0.00,1.00,0.00,0.00,5.00,2.00,2.00,2.00,2.00,1.00,0.00,106.10,2.00,0.00,3.00,12.00,0.00
1050.00,1,Green Gergen,green.gergen@protonmail.com,Green,Gergen,13.00,4.00,11.00,2.00,68.98,1.00,0.00,0.00,1.00,6.00,1.00,0.00,0.00,4.00,1.00,0.00,98.50,2.00,0.00,3.00,13.00,0.00
1189.00,1,Gwynesse Harlaw,gwynesse.harlaw@gmail.com,Gwynesse,Harlaw,100.00,4.00,5.00,4.00,75.00,1.00,0.00,0.00,1.00,6.00,2.00,1.00,0.00,2.00,0.00,0.00,73.20,2.00,0.00,2.00,15.00,0.00
1400.00,1,Imry Florent,imry.florent@msn.com,Imry,Florent,65.00,9.00,7.00,6.00,38.43,1.00,0.00,1.00,1.00,6.00,1.00,7.00,1.00,3.00,1.00,1.00,106.90,2.00,0.00,3.00,14.00,0.00
2100.00,1,Jaehaera Targaryen,jaehaera.targaryen@dupont.com,Jaehaera,Targaryen,70.00,1.00,5.00,3.00,44.00,1.00,3.00,0.00,1.00,6.00,2.00,0.00,7.00,0.00,0.00,0.00,83.60,2.00,0.00,2.00,16.00,0.00
1240.00,1,Jeffory Mallister,jeffory.mallister@visa.com,Jeffory,Mallister,43.00,7.00,8.00,8.00,76.80,1.00,3.00,0.00,1.00,7.00,2.00,0.00,3.00,3.00,1.00,1.00,93.20,2.00,1.00,2.00,15.00,0.00
1445.00,1,Joffrey Baratheon,joffrey.baratheon@live.com,Joffrey,Baratheon,39.00,2.00,8.00,8.00,40.38,1.00,3.00,0.00,1.00,6.00,2.00,13.00,0.00,5.00,1.00,0.00,84.80,2.00,1.00,3.00,11.00,169.00
1437.00,1,Joss,joss@yahoo.com,Joss,Joss,71.00,3.00,5.00,3.00,154.20,1.00,0.00,0.00,0.00,6.00,2.00,2.00,0.00,3.00,1.00,1.00,84.80,2.00,0.00,3.00,14.00,170.00
1450.00,1,Kojja Mo,kojja.mo@yahoo.com,Kojja,Mo,31.00,7.00,3.00,3.00,80.04,0.00,2.00,0.00,1.00,6.00,1.00,0.00,0.00,5.00,0.00,0.00,94.10,2.00,0.00,3.00,13.00,124.00
1190.00,1,Lanna Lannister,lanna.lannister@amex.com,Lanna,Lannister,39.00,7.00,4.00,2.00,78.00,1.00,2.00,0.00,1.00,6.00,1.00,44.00,1.00,2.00,0.00,0.00,80.40,2.00,2.00,2.00,15.00,294.00
2362.50,1,Long Lew,long.lew@cocacola.com,Long,Lew,49.00,1.00,3.00,9.00,36.00,0.00,1.00,0.00,1.00,6.00,1.00,11.00,0.00,9.00,1.00,0.00,89.30,2.00,0.00,3.00,12.00,0.00
1488.00,1,Mariya Darry,mariya.darry@hotmail.com,Mariya,Darry,62.00,8.00,5.00,10.00,46.05,1.00,1.00,0.00,1.00,5.00,2.00,22.00,5.00,4.00,1.00,0.00,110.20,2.00,0.00,3.00,13.00,0.00
1230.00,1,Norjen,norjen@unitedtech.com,Norjen,Norjen,51.00,3.00,8.00,3.00,30.80,1.00,2.00,1.00,0.00,6.00,2.00,14.00,3.00,3.00,0.00,0.00,105.50,2.00,1.00,3.00,14.00,0.00
1100.00,1,Ramsay Snow,ramsay.snow@msn.com,Ramsay,Snow,34.00,5.00,6.00,6.00,78.77,1.00,3.00,0.00,1.00,6.00,1.00,24.00,0.00,2.00,0.00,0.00,77.30,2.00,0.00,2.00,15.00,0.00
1260.00,1,Jon Umber (Smalljon),jon.umber.(smalljon)@passport.com,Jon,Umber ,30.00,6.00,5.00,2.00,74.90,1.00,0.00,0.00,1.00,6.00,2.00,9.00,0.00,0.00,0.00,0.00,85.60,2.00,1.00,3.00,13.00,0.00
1485.00,1,Kedge Whiteye,kedge.whiteye@disney.com,Kedge,Whiteye,44.00,7.00,9.00,7.00,25.29,1.00,3.00,1.00,1.00,5.00,2.00,0.00,2.00,0.00,0.00,0.00,105.50,2.00,0.00,3.00,13.00,0.00
1130.00,1,Lucas Blackwood,lucas.blackwood@gmail.com,Lucas,Blackwood,56.00,2.00,2.00,3.00,94.40,1.00,4.00,0.00,1.00,6.00,2.00,41.00,0.00,5.00,0.00,0.00,67.20,2.00,0.00,2.00,16.00,0.00
349.00,1,Mag Mar Tun Doh Weg,mag.mar.tun.doh.weg@protonmail.com,Mag,Mar Tun Doh Weg,15.00,3.00,12.00,3.00,85.79,1.00,1.00,0.00,1.00,6.00,2.00,6.00,3.00,2.00,0.00,0.00,72.00,2.00,0.00,1.00,18.00,0.00
2310.00,1,Megga Tyrell,megga.tyrell@chevron.com,Megga,Tyrell,30.00,1.00,6.00,10.00,36.00,1.00,2.00,1.00,1.00,6.00,1.00,8.00,1.00,2.00,1.00,1.00,92.80,2.00,0.00,2.00,17.00,0.00
1605.00,1,Meldred Merlyn,meldred.merlyn@protonmail.com,Meldred,Merlyn,77.00,3.00,8.00,10.00,40.00,1.00,1.00,0.00,0.00,6.00,1.00,0.00,4.00,0.00,1.00,1.00,118.90,2.00,0.00,3.00,12.00,197.00
3352.50,1,Damon Vypren,damon.vypren@live.com,Damon,Vypren,76.00,3.00,8.00,1.00,120.80,1.00,1.00,0.00,1.00,6.00,2.00,3.00,0.00,13.00,0.00,0.00,143.30,2.00,2.00,3.00,13.00,177.00
2712.50,1,Old Tattersalt,old.tattersalt@yahoo.com,Old,Tattersalt,51.00,1.00,7.00,2.00,42.00,1.00,2.00,1.00,1.00,6.00,2.00,3.00,0.00,2.00,0.00,0.00,120.00,2.00,0.00,3.00,12.00,120.00
2550.00,1,Olenna Redwyne,olenna.redwyne@gmail.com,Olenna,Redwyne,73.00,8.00,10.00,6.00,117.64,1.00,1.00,0.00,0.00,5.00,2.00,4.00,0.00,3.00,0.00,0.00,123.90,2.00,1.00,3.00,12.00,0.00
1380.00,1,Jon Fossoway,jon.fossoway@protonmail.com,Jon,Fossoway,33.00,8.00,6.00,10.00,68.00,1.00,0.00,0.00,0.00,6.00,2.00,0.00,0.00,8.00,0.00,0.00,81.60,2.00,0.00,3.00,13.00,0.00
2045.00,1,Kemmett Pyke,kemmett.pyke@pfizer.com,Kemmett,Pyke,61.00,2.00,9.00,1.00,93.15,1.00,4.00,0.00,1.00,4.00,2.00,9.00,0.00,7.00,1.00,0.00,121.80,2.00,0.00,3.00,11.00,0.00
870.00,1,Medger Cerwyn,medger.cerwyn@yahoo.com,Medger,Cerwyn,15.00,2.00,11.00,2.00,45.00,1.00,2.00,0.00,1.00,5.00,1.00,45.00,0.00,1.00,0.00,0.00,76.50,2.00,0.00,2.00,16.00,0.00
576.00,1,Minisa Whent,minisa.whent@gmail.com,Minisa,Whent,16.00,4.00,12.00,5.00,207.80,1.00,2.00,1.00,0.00,5.00,2.00,9.00,0.00,5.00,0.00,0.00,81.00,2.00,0.00,2.00,18.00,0.00
2450.00,1,Rhaella Targaryen,rhaella.targaryen@yahoo.com,Rhaella,Targaryen,32.00,1.00,7.00,5.00,54.00,1.00,1.00,0.00,1.00,6.00,2.00,10.00,9.00,0.00,0.00,0.00,84.80,2.00,0.00,3.00,13.00,170.00
787.50,1,Robin Potter,robin.potter@protonmail.com,Robin,Potter,12.00,1.00,11.00,3.00,55.25,1.00,3.00,1.00,1.00,6.00,1.00,3.00,4.00,1.00,1.00,0.00,61.20,2.00,0.00,2.00,16.00,0.00
1190.00,1,Rolfe,rolfe@pg.com,Rolfe,Rolfe,53.00,7.00,6.00,3.00,61.00,1.00,2.00,0.00,1.00,4.00,1.00,8.00,0.00,5.00,1.00,0.00,90.40,2.00,0.00,2.00,16.00,0.00
3363.00,1,Selyse Florent,selyse.florent@protonmail.com,Selyse,Florent,123.00,4.00,8.00,1.00,197.62,1.00,0.00,2.00,1.00,5.00,1.00,12.00,0.00,5.00,1.00,0.00,148.30,2.00,2.00,3.00,15.00,0.00
1319.00,1,Shyra,shyra@protonmail.com,Shyra,Shyra,44.00,6.00,6.00,4.00,74.89,0.00,2.00,0.00,1.00,6.00,2.00,21.00,0.00,1.00,0.00,0.00,79.60,2.00,0.00,2.00,15.00,0.00
970.00,1,Sylas Flatnose,sylas.flatnose@cisco.com,Sylas,Flatnose,14.00,7.00,11.00,7.00,130.02,0.00,0.00,0.00,1.00,6.00,1.00,15.00,4.00,13.00,0.00,0.00,88.20,2.00,0.00,2.00,17.00,0.00
1165.00,1,Tyland Lannister,tyland.lannister@amex.com,Tyland,Lannister,44.00,3.00,7.00,2.00,63.07,0.00,0.00,0.00,1.00,6.00,1.00,31.00,8.00,1.00,0.00,0.00,85.80,2.00,0.00,1.00,16.00,0.00
1875.00,1,Tyrion Lannister,tyrion.lannister@protonmail.com,Tyrion,Lannister,51.00,2.00,8.00,1.00,50.14,1.00,1.00,0.00,1.00,5.00,1.00,7.00,7.00,0.00,1.00,0.00,136.00,2.00,1.00,3.00,12.00,0.00
1350.00,1,Ormond Yronwood,ormond.yronwood@caterpillar.com,Ormond,Yronwood,49.00,8.00,8.00,3.00,50.60,1.00,0.00,0.00,1.00,5.00,1.00,4.00,0.00,1.00,0.00,0.00,166.60,2.00,0.00,2.00,14.00,0.00
1968.75,1,Owen,owen@unitedtech.com,Owen,Owen,29.00,1.00,5.00,7.00,59.90,1.00,1.00,0.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,98.40,2.00,0.00,2.00,15.00,0.00
869.00,1,Desmond,desmond@me.com,Desmond,Desmond,14.00,2.00,11.00,6.00,49.00,0.00,4.00,0.00,0.00,6.00,1.00,11.00,1.00,6.00,1.00,0.00,67.20,2.00,0.00,2.00,15.00,0.00
999.00,1,Redwyn,redwyn@protonmail.com,Redwyn,Redwyn,15.00,7.00,12.00,5.00,44.60,1.00,0.00,0.00,1.00,6.00,2.00,9.00,0.00,1.00,1.00,1.00,86.40,2.00,0.00,1.00,16.00,0.00
3202.50,1,Selwyn Tarth,selwyn.tarth@ibm.com,Selwyn,Tarth,84.00,4.00,6.00,1.00,235.95,1.00,0.00,2.00,1.00,5.00,2.00,13.00,1.00,1.00,0.00,0.00,152.40,2.00,1.00,3.00,14.00,0.00
131.00,1,Skinner,skinner@protonmail.com,Skinner,Skinner,13.00,7.00,11.00,9.00,140.84,0.00,1.00,0.00,0.00,6.00,2.00,12.00,2.00,7.00,1.00,1.00,73.30,2.00,0.00,3.00,12.00,0.00
1250.00,1,Vargo Hoat,vargo.hoat@mmm.com,Vargo,Hoat,34.00,2.00,5.00,2.00,64.75,0.00,2.00,0.00,1.00,5.00,1.00,0.00,8.00,1.00,0.00,0.00,75.20,2.00,0.00,2.00,17.00,0.00
750.00,1,Wendel Frey,wendel.frey@unitedhealth.com,Wendel,Frey,14.00,3.00,12.00,4.00,103.00,1.00,2.00,0.00,1.00,6.00,1.00,0.00,2.00,3.00,0.00,0.00,57.20,2.00,0.00,2.00,15.00,0.00
1510.00,1,Otto Hightower,otto.hightower@gmail.com,Otto,Hightower,110.00,3.00,7.00,2.00,37.82,1.00,1.00,0.00,1.00,6.00,1.00,49.00,3.00,0.00,0.00,0.00,120.00,2.00,0.00,3.00,11.00,0.00
1130.00,1,Elyas Willum,elyas.willum@aol.com,Elyas,Willum,113.00,2.00,7.00,4.00,82.80,1.00,1.00,0.00,1.00,5.00,0.00,8.00,2.00,0.00,1.00,0.00,79.30,2.00,0.00,2.00,18.00,0.00
1095.00,1,Rosamund Lannister,rosamund.lannister@gmail.com,Rosamund,Lannister,20.00,7.00,16.00,7.00,73.00,1.00,0.00,1.00,1.00,6.00,1.00,8.00,0.00,7.00,0.00,0.00,82.50,2.00,0.00,2.00,17.00,0.00
1850.00,1,Skyte,skyte@unitedtech.com,Skyte,Skyte,39.00,9.00,8.00,2.00,37.07,1.00,1.00,0.00,1.00,5.00,1.00,0.00,0.00,1.00,1.00,0.00,103.40,2.00,1.00,3.00,14.00,0.00
